timestamp,joint_names,desired_positions,actual_positions,error_positions,desired_velocities,actual_velocities
1755197445.6968935,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.3002794735646195, -1.2704782926606877, 0.30030633697392195, -1.2705029286707181, 0.30026694957289835, 0.30028750704615126]","[0.31360042095184326, -1.2571993333152314, 0.31365901628603154, -1.257159100180008, 0.31363487243652344, 0.3135824203491211]","[-0.01332094738722378, -0.01327895934545631, -0.013352679312109594, -0.013343828490710141, -0.013367922863625092, -0.013294913302969835]","[-0.4391746510762208, -0.43919024946760177, -0.4391855177718268, -0.4391802837920266, -0.43916958491338665, -0.4391779007530388]","[-0.43667399883270264, -0.4343228340148926, -0.43734967708587646, -0.4358167052268982, -0.42958709597587585, -0.4224856495857239]"
1755197445.730467,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.27821443446791294, -1.292544115452707, 0.27824075191204445, -1.2925682507666694, 0.278202165010648, 0.27822230467898756]","[0.29252296686172485, -1.27822961032901, 0.2926386038409632, -1.278367505674698, 0.29259219765663147, 0.2926742434501648]","[-0.014308532393811912, -0.01431450512369703, -0.014397851928918737, -0.014200745091971445, -0.014390032645983486, -0.01445193877117723]","[-0.44389958656483625, -0.44391535277417465, -0.4439105701716428, -0.44390527988117695, -0.44389446589682396, -0.4439028712038572]","[-0.44183069467544556, -0.44552212953567505, -0.44299039244651794, -0.4398435950279236, -0.4348638653755188, -0.4316898286342621]"
1755197445.7920442,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.2559145774807845, -1.314844764475296, 0.2559403431495407, -1.3148683937647425, 0.2559025652667516, 0.25592228268386497]","[0.27040600776672363, -1.300349400644638, 0.2703440825091761, -1.3003491026214142, 0.27041491866111755, 0.27048271894454956]","[-0.014491430285939133, -0.01449536383065797, -0.014403739359635348, -0.014519291143328283, -0.014512353394365962, -0.014560436260684595]","[-0.44824950335963676, -0.4482654240672016, -0.448260594598388, -0.44825525246664083, -0.448244332512529, -0.44825282018590656]","[-0.44439542293548584, -0.43860527873039246, -0.4439321458339691, -0.4418637752532959, -0.4543304145336151, -0.4602929949760437]"
1755197445.8398364,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.2333692022765335, -1.337390940435204, 0.23339441009494682, -1.3374140581288778, 0.2333574501379436, 0.23337674065490538]","[0.24800004065036774, -1.3227150601199646, 0.24799949327577764, -1.3225629192641755, 0.2481069266796112, 0.2479778230190277]","[-0.014630838373834248, -0.014675880315239365, -0.014605083180830813, -0.014851138864702351, -0.014749476541667611, -0.01460108236412233]","[-0.45222889658883714, -0.4522449586345528, -0.452240086291502, -0.45223469673428585, -0.45222367983686207, -0.45223224286066327]","[-0.44876381754875183, -0.4478726387023926, -0.44822564721107483, -0.44626584649086, -0.4385879337787628, -0.45022428035736084]"
1755197445.8890264,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.2106583340377173, -1.3601026153075784, 0.2106829799109194, -1.3601252176501397, 0.21064684388363933, 0.21066570436681342]","[0.2246255725622177, -1.3462775659612198, 0.2245262304889124, -1.3462421608022233, 0.22459115087985992, 0.2245100885629654]","[-0.013967238524500408, -0.013825049346358531, -0.013843250577993016, -0.013883056847916464, -0.013944306996220596, -0.013844384196151971]","[-0.4558266063771331, -0.4558427962045529, -0.45583788509954687, -0.45583245266567485, -0.45582134812325537, -0.4558299792702455]","[-0.45448583364486694, -0.45647114515304565, -0.4536060690879822, -0.44948747754096985, -0.4572335481643677, -0.44523248076438904]"
1755197445.9307275,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.18782704616890472, -1.3829347140869548, 0.18785112711729854, -1.3829567983458624, 0.1878158193884567, 0.1878342475576789]","[0.20272201299667358, -1.3680973511985322, 0.2026761213885706, -1.368226022725441, 0.20271962881088257, 0.2027415931224823]","[-0.014894966827768863, -0.014837362888422634, -0.014824994271272068, -0.014730775620421355, -0.014903809422425862, -0.014907345564803387]","[-0.45904045364845936, -0.4590567576237414, -0.4590518118925393, -0.4590463411567943, -0.4590351583207805, -0.45904385032246375]","[-0.4564399719238281, -0.4567573070526123, -0.45548492670059204, -0.4550282061100006, -0.45263391733169556, -0.4418487250804901]"
1755197445.985124,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.16476327899412327, -1.405999300429387, 0.16478678926536897, -1.4060208613292604, 0.16475231826910394, 0.16477030972234294]","[0.1788262575864792, -1.3920182299664994, 0.17886239687074834, -1.3918903332999726, 0.1789105236530304, 0.17875291407108307]","[-0.014062978592355918, -0.013981070462887546, -0.014075607605379375, -0.014130528029287825, -0.014158205383926453, -0.01398260434874013]","[-0.4618880615573488, -0.4619044666725818, -0.46189949026106997, -0.46189398558820627, -0.46188273338067626, -0.46189147930225377]","[-0.45774540305137634, -0.4566487669944763, -0.4572129249572754, -0.45216599106788635, -0.4523073732852936, -0.4577464759349823]"
1755197446.0285344,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.14163873341678213, -1.4291246673330762, 0.14166167150701225, -1.4291457034947426, 0.14162803944830954, 0.1416455930347168]","[0.1567537635564804, -1.4140975040248414, 0.15667802492250615, -1.4140092146447678, 0.1567418873310089, 0.15660768747329712]","[-0.015115030139698282, -0.015027163308234837, -0.0150163534154939, -0.01513648884997476, -0.015113847882699372, -0.01496209443858032]","[-0.4643503105513491, -0.46436680311954276, -0.4643618001796029, -0.46435626616223696, -0.4643449539710466, -0.4643537465156879]","[-0.4657018780708313, -0.4612021744251251, -0.46149659156799316, -0.47885313630104065, -0.4657909572124481, -0.46820417046546936]"
1755197446.0803008,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.11835989919207451, -1.452404328364081, 0.11838226128365592, -1.4524248362864487, 0.1183494737599679, 0.11836658655806398]","[0.13263371586799622, -1.4382665020278473, 0.13253575960268194, -1.4383376997760315, 0.1325332224369049, 0.13258452713489532]","[-0.014273816675921702, -0.014137826336233728, -0.014153498319026014, -0.014087136510417153, -0.014183748676937002, -0.014217940576831345]","[-0.46643996845840435, -0.4664565352460499, -0.4664515097920021, -0.4664459508705867, -0.46643458777255015, -0.4664434198851859]","[-0.46679309010505676, -0.4651241898536682, -0.4665398597717285, -0.4649563133716583, -0.4712594747543335, -0.4695579707622528]"
1755197446.1378706,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.09500633593191166, -1.4757587210847307, 0.09502812017579026, -1.4757786990720616, 0.09499617989821846, 0.09501285049299774]","[0.110158771276474, -1.4607013773969193, 0.11018783250917608, -1.460584082906582, 0.11028236895799637, 0.11028439551591873]","[-0.015152435344562343, -0.01505734368781142, -0.01515971233338581, -0.01519461616547968, -0.01528618905977791, -0.015271545022920996]","[-0.4681510743071655, -0.4681677018690352, -0.46816265797942347, -0.4681570786654527, -0.46814567388260175, -0.4681545383952902]","[-0.46427804231643677, -0.4680950343608856, -0.46594151854515076, -0.451285183429718, -0.464460551738739, -0.4725196659564972]"
1755197446.2023218,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.07154168015121787, -1.4992242102716415, 0.0715628837985815, -1.4992436558030429, 0.07153179479746191, 0.07154802108537028]","[0.08682816475629807, -1.4841259729913254, 0.08671552339662725, -1.4838623714498063, 0.08688967674970627, 0.08687326312065125]","[-0.015286484605080197, -0.015098237280316118, -0.015152639598045747, -0.015381284353236602, -0.015357881952244357, -0.015325242035280962]","[-0.4694873175931331, -0.46950399261504117, -0.46949893432865886, -0.46949333908965596, -0.46948190175414134, -0.46949079156880213]","[-0.4693838357925415, -0.46410101652145386, -0.4669948220252991, -0.47512945532798767, -0.4750939905643463, -0.4709537625312805]"
1755197446.2279792,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.048044243811029064, -1.522722481182331, 0.04806486605077359, -1.5227413935139522, 0.048034629515355476, 0.04805041087568812]","[0.06332533806562424, -1.5074953895858307, 0.06329137483705694, -1.5074414324811478, 0.06329502165317535, 0.06331111490726471]","[-0.015281094254595173, -0.015227091596500264, -0.015226508786283344, -0.015299961032804399, -0.015260392137819878, -0.015260704031576589]","[-0.47044505909461454, -0.47046176813311885, -0.47045669952796837, -0.47045109287482845, -0.4704396322074569, -0.4704485401571005]","[-0.4739306569099426, -0.4665420949459076, -0.4679076671600342, -0.4685642123222351, -0.48026570677757263, -0.47814279794692993]"
1755197446.3274915,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.024493314713908476, -1.546274246749882, 0.024513354222438666, -1.5462926246678745, 0.02448397209339065, 0.024499307513253854]","[0.0389007031917572, -1.5318853494575997, 0.03883201280702764, -1.531906896536686, 0.03883546590805054, 0.03885848447680473]","[-0.014407388477848726, -0.014388897292282321, -0.014318658584588972, -0.014385728131188547, -0.014351493814659888, -0.01435917696355088]","[-0.4710261452748897, -0.47104287495212993, -0.4710378000863198, -0.471032186507932, -0.47102071168452814, -0.4710296306371281]","[-0.4715786576271057, -0.4711993634700775, -0.4711538553237915, -0.4828084409236908, -0.47946834564208984, -0.4745079278945923]"
1755197446.328116,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[0.0009573206811788193, -1.569811076722586, 0.0009767778280398431, -1.5698289205658538, 0.0009482495635309562, 0.0009631393257226173]","[0.015330733731389046, -1.555557520394661, 0.015333477650777638, -1.5556313016316672, 0.015439524315297604, 0.015366997569799423]","[-0.014373413050210226, -0.01425355632792491, -0.014356699822737795, -0.014197618934186584, -0.014491274751766647, -0.014403858244076806]","[-0.4712298219807576, -0.4712465588920879, -0.4712414818318519, -0.47123586582609317, -0.471224386040854, -0.4712333088501037]","[-0.4711710214614868, -0.46971920132637024, -0.47140952944755554, -0.4695020616054535, -0.48154348134994507, -0.4649725556373596]"
1755197446.3776734,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.02259374507339007, -1.5933629789524388, -0.022574870661125013, -1.593380288378977, -0.022602544514305878, -0.022588100695171143]","[-0.007341686879293263, -1.5781294308104457, -0.007227721158415079, -1.5780016384520472, -0.007177178059713185, -0.007263485585347951]","[-0.015252058194096807, -0.01523354814199318, -0.015347149502709934, -0.015378649926929722, -0.015425366454592693, -0.015324615109823192]","[-0.4710569982540372, -0.4710737290270985, -0.47106865382887636, -0.47106303988279, -0.4710515643077666, -0.47106048384457244]","[-0.4688630700111389, -0.46780142188072205, -0.47139406204223633, -0.45538848638534546, -0.46443891525268555, -0.4777233898639679]"
1755197446.446112,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.04613984892488815, -1.6169099191029868, -0.046121557124444046, -1.61692669422539, -0.04614837674631056, -0.04613437877627835]","[-0.03077251115907842, -1.6016856632628382, -0.03089296817779541, -1.6015154323973597, -0.030835453663961232, -0.030929390584127248]","[-0.01536733776580973, -0.015224255840148526, -0.015228588946648636, -0.01541126182803021, -0.015312923082349328, -0.015204988192151103]","[-0.47050702513473586, -0.4705237363741197, -0.47051866710134316, -0.4705130597097066, -0.4705015975327599, -0.47051050665574]","[-0.475280225276947, -0.47266244888305664, -0.4695507884025574, -0.4791617691516876, -0.47188374400138855, -0.47308164834976196]"
1755197446.5603511,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.06965036715880535, -1.6404212723720408, -0.06963265708967159, -1.640437513997812, -0.0696586237712376, -0.06964507097648875]","[-0.054316345845357716, -1.6250692806639613, -0.05438123270869255, -1.6251822910704554, -0.05441409746278936, -0.05431110063661748]","[-0.015334021313447632, -0.015351991708079549, -0.01525142438097904, -0.015255222927356593, -0.015244526308448247, -0.015333970339871272]","[-0.4695798297490902, -0.4695965080568, -0.46959144877368575, -0.4695858524321449, -0.469574412842911, -0.46958330440930374]","[-0.4713086187839508, -0.4706709086894989, -0.47180700302124023, -0.4717472195625305, -0.4769371747970581, -0.480606347322464]"
1755197446.5611825,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.09309550748000162, -1.6638672454063137, -0.09307837752450304, -1.6638829550189969, -0.09310349363761977, -0.09309038478021364]","[-0.07879001299013311, -1.6496435604491175, -0.07878551632165909, -1.6497274837889613, -0.07870608965028936, -0.07871371904482061]","[-0.014305494489868509, -0.01422368495719617, -0.014292861202843954, -0.014155471230035577, -0.014397403987330415, -0.014376665735393035]","[-0.46827604303895476, -0.468292675039403, -0.46828762980337024, -0.46828204900005166, -0.46827064117279604, -0.46827950805178675]","[-0.4681459963321686, -0.4684373140335083, -0.469452440738678, -0.47935712337493896, -0.47660988569259644, -0.47475579380989075]"
1755197446.5873966,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.11645327626763702, -1.6872258438038055, -0.11643672426390028, -1.6872410233860207, -0.11646099297832824, -0.11644832640387115]","[-0.10127574602235967, -1.6722084484496058, -0.10133404284715652, -1.6719562015929164, -0.10122138658632451, -0.10130578676332647]","[-0.015177530245277349, -0.015017395354199659, -0.015102681416743757, -0.015284821793104308, -0.015239606392003724, -0.015142539640544683]","[-0.46659638618480304, -0.4666129585280172, -0.4666079313887147, -0.4666023706031498, -0.4665910036945695, -0.4665998387689988]","[-0.46549364924430847, -0.4657593071460724, -0.4643678069114685, -0.46507716178894043, -0.46603095531463623, -0.4508214592933655]"
1755197446.656675,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.13978417527826037, -1.710557571469938, -0.13976820056143502, -1.7105722216314094, -0.139791622851985, -0.1397793980516937]","[-0.12465030351747686, -1.6954175434508265, -0.12461292743682861, -1.6952272854247035, -0.12457830110658819, -0.1246417204486292]","[-0.015133871760783513, -0.015140028019111407, -0.015155273124606405, -0.015344936206705961, -0.015213321745396802, -0.015137677603064503]","[-0.46453382057544246, -0.4645503196614559, -0.4645453147443672, -0.4645397785399722, -0.4645284618782335, -0.46453725789766553]","[-0.46837925910949707, -0.46415814757347107, -0.46546411514282227, -0.45464131236076355, -0.45852431654930115, -0.4790434241294861]"
1755197446.6782484,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.16294163190312838, -1.7337158505900732, -0.1629262301816512, -1.7337299752665252, -0.16294881234065617, -0.1629370260303723]","[-0.14779454866518194, -1.7187134228148402, -0.14791695773601532, -1.7186600170531214, -0.1478508154498499, -0.14790660539735967]","[-0.015147083237946446, -0.015002427775232974, -0.01500927244563588, -0.015069958213403734, -0.015097996890806265, -0.015030420633012631]","[-0.46209949830228525, -0.4621159109272256, -0.46211093223768074, -0.462105425044964, -0.46209416768655354, -0.4621029176117183]","[-0.46560922265052795, -0.46041882038116455, -0.4628050923347473, -0.47588908672332764, -0.4684606194496155, -0.46746405959129333]"
1755197446.7547803,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.18596311893369777, -1.7567381552866075, -0.18594828684321207, -1.756751757563439, -0.18597003380352517, -0.18595868340864385]","[-0.1709688345538538, -1.741814752618307, -0.17102260887622833, -1.7420088253416957, -0.17096215883363897, -0.17097217241396123]","[-0.014994284379843958, -0.0149234026683005, -0.014925677966983741, -0.014742932221743388, -0.015007874969886204, -0.014986510994682622]","[-0.4592891548835837, -0.4593054676921152, -0.45930051928139015, -0.45929504558168266, -0.4592838566869758, -0.45929255339785524]","[-0.4604523479938507, -0.461759477853775, -0.4593617916107178, -0.4574943482875824, -0.4695245623588562, -0.45180290937423706]"
1755197446.7860954,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.20882302338880676, -1.7795988716686701, -0.20880875693120238, -1.7796119552124852, -0.20882967455489365, -0.20881875701582353]","[-0.19399816194643194, -1.7648803196349085, -0.19399608671665192, -1.7646099529662074, -0.19388086000551397, -0.19409639040102178]","[-0.014824861442374826, -0.0147185520337616, -0.01481267021455046, -0.01500200224627779, -0.014948814549379685, -0.014722366614801752]","[-0.4561040514450271, -0.4561202511266057, -0.4561153370323886, -0.4561099012919918, -0.45609878999064146, -0.4561074263910967]","[-0.45532265305519104, -0.4543690085411072, -0.45766571164131165, -0.44823357462882996, -0.4490610659122467, -0.4636518359184265]"
1755197446.838976,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.2315687049984968, -1.8023453611484026, -0.23155500134750684, -1.8023579285511264, -0.23157509377847696, -0.23156460693239123]","[-0.21676475206484014, -1.78773893932485, -0.21684616804122925, -1.7875429592528285, -0.21683866182436162, -0.21679765382875615]","[-0.014803952933656661, -0.014606421823552651, -0.014708833306277591, -0.014814969298297953, -0.014736431954115337, -0.014766953103635072]","[-0.45253383713875495, -0.4525499100152004, -0.4525450343867007, -0.4525396411952751, -0.45252861686909385, -0.4525371856669913]","[-0.45798102021217346, -0.4535723626613617, -0.45280754566192627, -0.47078925371170044, -0.4586544930934906, -0.4642558693885803]"
1755197446.9127023,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.2541008398315968, -1.8248782962668941, -0.25408769370333717, -1.824890352374294, -0.25410696868887017, -0.2540969084922272]","[-0.24035722414125615, -1.811153074304098, -0.2404862940311432, -1.8112031422057093, -0.24032241502870733, -0.2402585188495081]","[-0.01374361569034066, -0.01372522196279613, -0.013601399672193981, -0.013687210168584762, -0.013784553660162846, -0.013838389642719107]","[-0.4485903742550964, -0.4486063070695475, -0.44860147392816896, -0.44859612773400315, -0.44858519947582287, -0.44859369360364343]","[-0.45154279470443726, -0.44877126812934875, -0.45036670565605164, -0.4518195390701294, -0.4581209421157837, -0.45011332631111145]"
1755197446.973893,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.2763978535532916, -1.8471761019230644, -0.27638525913005507, -1.8471876520704669, -0.2764037252001319, -0.27639408720087766]","[-0.26190215746034795, -1.8327065906920375, -0.2619062066078186, -1.8328052959837855, -0.261815373097555, -0.26185304323305303]","[-0.014495696092943655, -0.01446951123102691, -0.014479052522236469, -0.01438235608668137, -0.014588352102576918, -0.01454104396782463]","[-0.4442756288949521, -0.44429140846037907, -0.44428662180634293, -0.44428132703429335, -0.4442705038890491, -0.44427891631650174]","[-0.4452366828918457, -0.44288313388824463, -0.44749563932418823, -0.44790342450141907, -0.4494869112968445, -0.4600731432437897]"
1755197447.0390973,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.29852703764332456, -1.8693060719866805, -0.29851499077242716, -1.8693171199824474, -0.2985326540157547, -0.2985234350360091]","[-0.2841594854937952, -1.8550712070860804, -0.2842264473438263, -1.8548194370665492, -0.2841990629779261, -0.28426963487734014]","[-0.014367552149529339, -0.014234864900600108, -0.014288543428600864, -0.014497682915898258, -0.014333591037828608, -0.01425380015866895]","[-0.43957210469896424, -0.43958771720690937, -0.4395829812289437, -0.43957774251238513, -0.4395670339512463, -0.4395753573167438]","[-0.4437406659126282, -0.44204995036125183, -0.4406081438064575, -0.43233349919319153, -0.4380183219909668, -0.43870624899864197]"
1755197447.041355,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.32036543045424215, -1.8911452404429991, -0.3203539239405049, -1.8911557928857163, -0.32037079490672715, -0.3203619894403126]","[-0.3061936537372034, -1.8770376644530238, -0.30626457929611206, -1.8769689999022425, -0.30609637895693, -0.30613404909242803]","[-0.014171776717038731, -0.014107575989975363, -0.01408934464439282, -0.014186792983473806, -0.01427441594979717, -0.014227940347884549]","[-0.4345016224157936, -0.43451705483281833, -0.43451237348455307, -0.43450719519680503, -0.4344966101593588, -0.43450483751449376]","[-0.43730124831199646, -0.4419247806072235, -0.43963706493377686, -0.4490184187889099, -0.4435069262981415, -0.44146671891212463]"
1755197447.0776217,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.3419448670488996, -1.9127254434855767, -0.34193389448485234, -1.912735506251433, -0.34194998256866627, -0.3419415857122069]","[-0.3279789129840296, -1.8987928829588832, -0.3279650807380676, -1.898903032342428, -0.3278306166278284, -0.32789928117860967]","[-0.013965954064870001, -0.01393256052669356, -0.013968813746784714, -0.013832473909004994, -0.014119365940837847, -0.014042304533597227]","[-0.42905367544248074, -0.429068914361978, -0.42906429171024163, -0.42905917834983953, -0.4290487260316277, -0.4290568502290476]","[-0.4314729571342468, -0.4309651553630829, -0.4319792687892914, -0.444665789604187, -0.43067535758018494, -0.4352806806564331]"
1755197447.1682415,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.3632716848218326, -1.934053018734037, -0.3632612399568146, -1.9340625975554164, -0.36327655432300254, -0.3632685612931219]","[-0.3503010908709925, -1.9211131534972132, -0.35034576058387756, -1.9211007557311, -0.3503530661212366, -0.3503673712359827]","[-0.012970593950840104, -0.012939865236823778, -0.012915479372937022, -0.012961841824316478, -0.01292348820176592, -0.012901190057139189]","[-0.42322087003268494, -0.42323590178544024, -0.4232313419767224, -0.42322629813031787, -0.4232159879070041, -0.42322400165935525]","[-0.4244176149368286, -0.42545145750045776, -0.42484259605407715, -0.4293690621852875, -0.4358498454093933, -0.41616013646125793]"
1755197447.1990716,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.38426944361077386, -1.955051523311149, -0.38425951830273075, -1.955060625655001, -0.3842740708892537, -0.3842664754551698]","[-0.37149364153017217, -1.942327161828512, -0.37148723006248474, -1.9422961674132289, -0.37155419984926397, -0.37144691148866826]","[-0.012775802080601695, -0.012724361482636892, -0.01277228824024601, -0.012764458241772081, -0.012719871039989727, -0.012819563966501524]","[-0.4170189291074059, -0.41703374058264375, -0.41702924759403404, -0.4170242776608971, -0.4170141185251135, -0.417022014842758]","[-0.4230589270591736, -0.4189043939113617, -0.41859760880470276, -0.4192028343677521, -0.4322969317436218, -0.4180501103401184]"
1755197447.2326224,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.40494626669486145, -1.9757290807845695, -0.40493685300273696, -1.9757377139335117, -0.40495065545285247, -0.4049434515375978]","[-0.3915827910052698, -1.9623881779112757, -0.39158695936203003, -1.9625655613341273, -0.3915517965899866, -0.39144784608949834]","[-0.01336347568959162, -0.013340902873293814, -0.013349893640706934, -0.013172152599384424, -0.013398858862865848, -0.013495605448099468]","[-0.41044087449270805, -0.41045545233180547, -0.41045103021557694, -0.41044613867814184, -0.41043613979251803, -0.4104439115536854]","[-0.4160225987434387, -0.41226351261138916, -0.4148997664451599, -0.40792223811149597, -0.4182036519050598, -0.401671826839447]"
1755197447.3505454,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.42532055393362755, -1.9961040916673474, -0.4253116443716414, -1.9961122624864713, -0.4253247076610751, -0.4253178895360872]","[-0.4121187368976038, -1.9830004177489222, -0.4121028184890747, -1.982865949670309, -0.41213876405824834, -0.41212350526918584]","[-0.013201817036023744, -0.013103673918425152, -0.013208825882566666, -0.013246312816162398, -0.013185943602826766, -0.013194384266901338]","[-0.4034736340707914, -0.4034879644508367, -0.4034836174001021, -0.40347880889659304, -0.40346897974221285, -0.40347661957760994]","[-0.406295508146286, -0.40890857577323914, -0.40912318229675293, -0.4067881107330322, -0.41116464138031006, -0.3918430209159851]"
1755197447.3510444,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.4453181419531347, -2.016102389951447, -0.4453097272004485, -2.016110106988746, -0.44532206499550764, -0.445315625527928]","[-0.43227988878359014, -2.003176351586813, -0.43239325284957886, -2.003035684625143, -0.43231231371034795, -0.43227988878359014]","[-0.013038253169544545, -0.012926038364634351, -0.012916474350869622, -0.013074422363603233, -0.013009751285159687, -0.013035736744337889]","[-0.39613549859967634, -0.39614956834739934, -0.3961453003582056, -0.3961405793088628, -0.3961309289212228, -0.3961384298078946]","[-0.40077489614486694, -0.4028225839138031, -0.40163877606391907, -0.4020754098892212, -0.39632388949394226, -0.39163196086883545]"
1755197447.3781254,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.46492280259465546, -2.035707746901757, -0.4649148729288912, -2.035715019073472, -0.46492649948462406, -0.46492043123431337]","[-0.4529650847064417, -2.0239464245238246, -0.4530804753303528, -2.0239788494505824, -0.4529951254474085, -0.4529646078692835]","[-0.01195771788821376, -0.01176132237793226, -0.011834397598538438, -0.01173616962288948, -0.011931374037215559, -0.011955823365029872]","[-0.3884268662156356, -0.38844066217190787, -0.38843647723601227, -0.38843184805633013, -0.3884223854612283, -0.3884297403837589]","[-0.39544442296028137, -0.3891621232032776, -0.3940865099430084, -0.39168813824653625, -0.38946178555488586, -0.38203510642051697]"
1755197447.4370928,"['shoulder_pan_joint', 'shoulder_lift_joint', 'elbow_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","[-0.48413992443320186, -2.0549255512846787, -0.4841324702653129, -2.054932387384773, -0.48414339964127673, -0.4841376952701273]","[-0.4717147986041468, -2.042551179925436, -0.47170597314834595, -2.042342802087301, -0.4717305342303675, -0.4718082586871546]","[-0.012425125829055084, -0.012374371359242797, -0.012426497116966972, -0.012589585297472006, -0.012412865410909246, -0.012329436582972697]","[-0.3803385865446903, -0.38035209522538405, -0.38034799743313075, -0.3803434646476561, -0.38033419909380517, -0.3803414008635144]","[-0.38613373041152954, -0.3827521502971649, -0.38350629806518555, -0.39107710123062134, -0.3940744698047638, -0.38287878036499023]"
